nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Abiraterona BluepharmaMG,Abiraterona,Comprimido revestido por película,500 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Autorizado,,,,,Não,,648524,,,,
Abiraterona GenerisMG,Abiraterona,Comprimido revestido por película,500 mg,Eugia Pharma (Malta) Limited,Autorizado,,,,,Não,,732646,,,,
Abiraterona KrkaMG,Abiraterona,Comprimido revestido por película,500 mg,"KRKA d.d., Novo mesto",Autorizado,,,,,Não,,658104,,,,
Abiraterona Mylan,Abiraterona,Comprimido revestido por película,1000 mg,Mylan Pharmaceuticals Limited,Autorizado,,,,,Não,,672144,,,,
Abiraterona MylanMG,Abiraterona,Comprimido revestido por película,500 mg,Mylan Pharmaceuticals Limited,Autorizado,,,,,Não,,655084,,,,
Abiraterona TronylMG,Abiraterona,Comprimido revestido por película,500 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Autorizado,,,,,Não,,703704,,,,
Abiraterona ZentivaMG,Abiraterona,Comprimido revestido por película,500 mg,"Zentiva Portugal, Lda.",Autorizado,,,,,Não,,659224,,,,
Zytiga,Abiraterona,Comprimido revestido por película,500 mg,Janssen-Cilag International N.V.,Autorizado,,,,,Não,,612462,,,,
Cibinqo,Abrocitinib,Comprimido revestido por película,100 mg,Pfizer Europe MA EEIG,Autorizado,,,,,Não,,680365,,,,
Cibinqo,Abrocitinib,Comprimido revestido por película,200 mg,Pfizer Europe MA EEIG,Autorizado,,,,,Não,,680444,,,,
Cibinqo,Abrocitinib,Comprimido revestido por película,50 mg,Pfizer Europe MA EEIG,Autorizado,,,,,Não,,660244,,,,
Calquence,Acalabrutinib,Comprimido revestido por película,100 mg,AstraZeneca AB,Autorizado,,,,,Não,,701584,,,,
Campral,Acamprosato,Comprimido gastrorresistente,333 mg,Merck Santé S.A.S.,Autorizado,,,,,Não,,1401,,,,
Acarbose BerarMG,Acarbose,Comprimido,100 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Autorizado,,,,,Não,,703385,,,,
Acarbose BerarMG,Acarbose,Comprimido,50 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Autorizado,,,,,Não,,703384,,,,
Acarbose BluepharmaMG,Acarbose,Comprimido,100 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Autorizado,,,,,Não,,44725,,,,
Acarbose BluepharmaMG,Acarbose,Comprimido,50 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Autorizado,,,,,Não,,44724,,,,
Acarbose FarmozMG,Acarbose,Comprimido,100 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Autorizado,,,,,Não,,45428,,,,
Acarbose FarmozMG,Acarbose,Comprimido,50 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Autorizado,,,,,Não,,45427,,,,
Acarbose GenerisMG,Acarbose,Comprimido,100 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,45790,,,,
Acarbose GenerisMG,Acarbose,Comprimido,50 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,45789,,,,
Acarbose MylanMG,Acarbose,Comprimido,100 mg,Viatris Limited,Autorizado,,,,,Não,,44267,,,,
Acarbose MylanMG,Acarbose,Comprimido,50 mg,Viatris Limited,Autorizado,,,,,Não,,44268,,,,
Aceclofenac Alter 100 mg ComprimidosMG,Aceclofenac,Comprimido revestido por película,100 mg,"Alter, S.A.",Autorizado,,,,,Não,,40339,,,,
Aceclofenac GenerisMG,Aceclofenac,Comprimido revestido por película,100 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,40291,,,,
Aceclofenac MylanMG,Aceclofenac,Comprimido revestido por película,100 mg,Viatris Limited,Autorizado,,,,,Não,,40350,,,,
Airtal,Aceclofenac,Comprimido revestido por película,100 mg,"Almirall, S.A",Autorizado,,,,,Não,,50594,,,,
Airtal Difucreme,Aceclofenac,Creme,15 mg/g,"Almirall, S.A",Autorizado,,,,,Não,,50593,,,,
Rantudil,Acemetacina,Cápsula,60 mg,"Bial - Portela & Cª, S.A.",Autorizado,,,,,Não,,7358,,,,
Rantudil 90 Retard,Acemetacina,Cápsula de libertação prolongada,90 mg,"Bial - Portela & Cª, S.A.",Autorizado,,,,,Não,,7360,,,,
Acenocumarol GenerisMG,Acenocumarol,Comprimido,4 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,668445,,,,
Sintrom,Acenocumarol,Comprimido,4 mg,Merus Labs Luxco II S.à.r.l.,Autorizado,,,,,Não,,7906,,,,
Advantan,Aceponato de metilprednisolona,Creme,1 mg/g,Leo Pharma A/S,Autorizado,,,,,Não,,140,,,,
Acetato de Eslicarbazepina AlterMG,Acetato de eslicarbazepina,Comprimido,800 mg,"Alter, S.A.",Autorizado,,,,,Não,,646786,,,,
Acetato de Eslicarbazepina BixcarMG,Acetato de eslicarbazepina,Comprimido,800 mg,"Alter, S.A.",Autorizado,,,,,Não,,647950,,,,
Acetato de Eslicarbazepina GenerisMG,Acetato de eslicarbazepina,Comprimido,800 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,679924,,,,
Acetato de Eslicarbazepina Mylan PharmaMG,Acetato de eslicarbazepina,Comprimido,800 mg,Viatris Limited,Autorizado,,,,,Não,,640163,,,,
Acetato de eslicarbazepina PharmakernMG,Acetato de eslicarbazepina,Comprimido,800 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Autorizado,,,,,Não,,645244,,,,
Escarpilo,Acetato de eslicarbazepina,Comprimido,1200 mg,"Neuraxpharm Portugal, Unipessoal Lda",Autorizado,,,,,Não,,671685,,,,
EscarpiloMG,Acetato de eslicarbazepina,Comprimido,400 mg,"Neuraxpharm Portugal, Unipessoal Lda",Autorizado,,,,,Não,,671684,,,,
EscarpiloMG,Acetato de eslicarbazepina,Comprimido,800 mg,"Neuraxpharm Portugal, Unipessoal Lda",Autorizado,,,,,Não,,646144,,,,
Zebinix,Acetato de eslicarbazepina,Comprimido,800 mg,"Bial - Portela & Cª, S.A.",Autorizado,,,,,Não,,46607,,,,
Acetato de glatirâmero Mylan,Acetato de glatirâmero,Solução injetável em seringa pré-cheia,20 mg/1 ml,Viatris Limited,Autorizado,,,,,Não,,609922,,,,
